Time / s,LSPR peak wavelength / nm
280.2813,761.9869
281.2813,761.9877
282.2813,761.9852
283.2813,761.9936
284.2813,761.9767
285.2813,761.9863
286.2813,761.9929
287.2813,761.9913
288.2813,761.9921
289.2813,761.9856
290.2813,761.9807
291.2813,761.9905
292.2813,761.9889
293.2813,761.9885
294.2813,761.9881
295.2813,761.9926
296.2813,761.9954
297.2813,761.9862
298.2813,761.9858
299.2813,761.9897
300.2813,761.991
301.2813,761.9843
302.2813,761.9842
303.2813,761.9826
304.2813,761.9895
305.2813,761.9916
306.2813,761.9883
307.2813,761.9826
308.2813,761.9818
309.2813,761.9925
310.2813,761.9844
311.2813,761.9857
312.2813,761.9909
313.2813,761.9854
314.2813,761.9826
315.2813,761.9829
316.2813,761.9845
317.2813,761.98
318.2813,761.9886
319.2813,761.984
320.2813,761.9827
321.2813,761.9792
322.2813,761.993
323.2813,761.9842
324.2813,761.9892
325.2813,761.9855
326.2813,761.993
327.2813,761.992
328.2813,761.9789
329.2813,761.9916
330.2813,761.9861
331.2813,761.9862
332.2813,762.0035
333.2813,762.0029
334.2813,762.0107
335.2813,762.0184
336.2813,762.0317
337.2813,762.0449
338.2813,762.0569
339.2813,762.082
340.2813,762.0993
341.2813,762.127
342.2813,762.1486
343.2813,762.1805
344.2813,762.2022
345.2813,762.2369
346.2813,762.2581
347.2813,762.2911
348.2813,762.3201
349.2813,762.3584
350.2813,762.3867
351.2813,762.4172
352.2813,762.4317
353.2813,762.4592
354.2813,762.4801
355.2813,762.5065
356.2813,762.5185
357.2813,762.5435
358.2813,762.5664
359.2813,762.5718
360.2813,762.5871
361.2813,762.596
362.2813,762.6148
363.2813,762.6153
364.2813,762.6479
365.2813,762.6336
366.2813,762.6452
367.2813,762.6651
368.2813,762.6576
369.2813,762.6725
370.2813,762.6584
371.2813,762.6695
372.2813,762.6781
373.2813,762.6821
374.2813,762.6742
375.2813,762.6806
376.2813,762.678
377.2813,762.6931
378.2813,762.6921
379.2813,762.6868
380.2813,762.6927
381.2813,762.6894
382.2813,762.699
383.2813,762.6958
384.2813,762.699
385.2813,762.6981
386.2813,762.6942
387.2813,762.6868
388.2813,762.6968
389.2813,762.6953
390.2813,762.6964
391.2813,762.6966
392.2813,762.7014
393.2813,762.6948
394.2813,762.6873
395.2813,762.7028
396.2813,762.7018
397.2813,762.6976
398.2813,762.7011
399.2813,762.7028
400.2813,762.7016
401.2813,762.6996
402.2813,762.706
403.2813,762.6923
404.2813,762.7023
405.2813,762.694
406.2813,762.6996
407.2813,762.7034
408.2813,762.6948
409.2813,762.7105
410.2813,762.6966
411.2813,762.7095
412.2813,762.6982
413.2813,762.6962
414.2813,762.7069
415.2813,762.7074
416.2813,762.6931
417.2813,762.6991
418.2813,762.6955
419.2813,762.699
420.2813,762.6994
421.2813,762.6931
422.2813,762.6991
423.2813,762.7028
424.2813,762.7037
425.2813,762.6948
426.2813,762.6936
427.2813,762.6933
428.2813,762.6986
429.2813,762.7034
430.2813,762.6894
431.2813,762.7081
432.2813,762.6998
433.2813,762.7045
434.2813,762.7106
435.2813,762.6964
436.2813,762.7074
437.2813,762.6962
438.2813,762.7041
439.2813,762.7098
440.2813,762.7035
441.2813,762.7121
442.2813,762.6978
443.2813,762.6982
444.2813,762.7044
445.2813,762.7116
446.2813,762.7
447.2813,762.6958
448.2813,762.6946
449.2813,762.7005
450.2813,762.6954
451.2813,762.7052
452.2813,762.6953
453.2813,762.6967
454.2813,762.6998
455.2813,762.6968
456.2813,762.6998
457.2813,762.7094
458.2813,762.6986
459.2813,762.7116
460.2813,762.6938
461.2813,762.699
462.2813,762.7075
463.2813,762.6971
464.2813,762.6916
465.2813,762.7055
466.2813,762.7017
467.2813,762.6995
468.2813,762.7018
469.2813,762.7079
470.2813,762.6895
471.2813,762.704
472.2813,762.7025
473.2813,762.701
474.2813,762.7016
475.2813,762.7026
476.2813,762.7014
477.2813,762.7137
478.2813,762.7039
479.2813,762.72
480.2813,762.7265
481.2813,762.7313
482.2813,762.7529
483.2813,762.7733
484.2813,762.7895
485.2813,762.8137
486.2813,762.8461
487.2813,762.8801
488.2813,762.9018
489.2813,762.9425
490.2813,762.9902
491.2813,763.033
492.2813,763.0831
493.2813,763.131
494.2813,763.1777
495.2813,763.2205
496.2813,763.2638
497.2813,763.3178
498.2813,763.3589
499.2813,763.3857
500.2813,763.4305
501.2813,763.4569
502.2813,763.4934
503.2813,763.5081
504.2813,763.5329
505.2813,763.5421
506.2813,763.5772
507.2813,763.5809
508.2813,763.5924
509.2813,763.6091
510.2813,763.6186
511.2813,763.6302
512.2813,763.6389
513.2813,763.6363
514.2813,763.654
515.2813,763.6598
516.2813,763.6643
517.2813,763.6744
518.2813,763.6698
519.2813,763.6857
520.2813,763.6924
521.2813,763.6856
522.2813,763.6774
523.2813,763.6901
524.2813,763.687
525.2813,763.6867
526.2813,763.6939
527.2813,763.6903
528.2813,763.7002
529.2813,763.7019
530.2813,763.6983
531.2813,763.6998
532.2813,763.7029
533.2813,763.7097
534.2813,763.6992
535.2813,763.6961
536.2813,763.7101
537.2813,763.707
538.2813,763.6955
539.2813,763.7007
540.2813,763.7097
541.2813,763.7023
542.2813,763.7068
543.2813,763.7086
544.2813,763.7009
545.2813,763.705
546.2813,763.7087
547.2813,763.7029
548.2813,763.7033
549.2813,763.7116
550.2813,763.7098
551.2813,763.7049
552.2813,763.7079
553.2813,763.7057
554.2813,763.6973
555.2813,763.7095
556.2813,763.706
557.2813,763.7057
558.2813,763.7065
559.2813,763.7103
560.2813,763.7093
561.2813,763.7103
562.2813,763.7034
563.2813,763.703
564.2813,763.7127
565.2813,763.7024
566.2813,763.7093
567.2813,763.7113
568.2813,763.707
569.2813,763.7182
570.2813,763.7034
571.2813,763.7052
572.2813,763.706
573.2813,763.7143
574.2813,763.7045
575.2813,763.7122
576.2813,763.7062
577.2813,763.7062
578.2813,763.7004
579.2813,763.7084
580.2813,763.707
581.2813,763.706
582.2813,763.7097
583.2813,763.7044
584.2813,763.6997
585.2813,763.7034
586.2813,763.7092
587.2813,763.7092
588.2813,763.7091
589.2813,763.6972
590.2813,763.6979
591.2813,763.6991
592.2813,763.7045
593.2813,763.7083
594.2813,763.6983
595.2813,763.7098
596.2813,763.7101
597.2813,763.7023
598.2813,763.7121
599.2813,763.7038
600.2813,763.7071
601.2813,763.7071
602.2813,763.6989
603.2813,763.7103
604.2813,763.7002
605.2813,763.7099
606.2813,763.7004
607.2813,763.7102
608.2813,763.7022
609.2813,763.7115
610.2813,763.7064
611.2813,763.7056
612.2813,763.7011
613.2813,763.7094
614.2813,763.7035
615.2813,763.7053
616.2813,763.7063
617.2813,763.7057
618.2813,763.7104
619.2813,763.7009
620.2813,763.7003
621.2813,763.6967
622.2813,763.7062
623.2813,763.7057
624.2813,763.6993
625.2813,763.6929
626.2813,763.7069
627.2813,763.7002
628.2813,763.7085
629.2813,763.7003
630.2813,763.696
631.2813,763.7036
632.2813,763.7091
633.2813,763.7078
634.2813,763.7064
635.2813,763.7093
636.2813,763.7313
637.2813,763.7288
638.2813,763.7398
639.2813,763.7562
640.2813,763.7816
641.2813,763.8128
642.2813,763.8544
643.2813,763.8763
644.2813,763.9146
645.2813,763.9539
646.2813,763.9977
647.2813,764.0344
648.2813,764.0783
649.2813,764.1189
650.2813,764.1801
651.2813,764.2168
652.2813,764.2713
653.2813,764.3077
654.2813,764.3564
655.2813,764.3993
656.2813,764.4267
657.2813,764.4621
658.2813,764.5014
659.2813,764.5401
660.2813,764.5485
661.2813,764.5748
662.2813,764.6021
663.2813,764.6217
664.2813,764.6516
665.2813,764.6604
666.2813,764.6834
667.2813,764.688
668.2813,764.7042
669.2813,764.7125
670.2813,764.711
671.2813,764.7277
672.2813,764.7285
673.2813,764.7337
674.2813,764.7422
675.2813,764.747
