Measured (averaged) LSPR peak wavelength \ nm,Given concentration ethylene glycol in water (percent),Fitted LSPR peak wavelength \ nm,Fitted concentration ethylene glycol in water (percent),One sigma uncertainty for fitted concentation ethylene glycol in water (percent)
761.7208,0,761.5208,-1.6534766679824315,0.9644582023177106
761.9909,5,761.5259210210211,-1.6010880748117415,0.9629954382116858
762.7016,10,761.531042042042,-1.548699481641961,0.9615341425402467
763.7098,20,761.5361630630631,-1.4963108884703615,0.9600743220312886
764.7761,30,761.541284084084,-1.443922295300581,0.9586159833937683
766.4367,50,761.5464051051051,-1.391533702129891,0.9571591334162783
,,761.5515261261262,-1.339145108959201,0.9557037789142556
,,761.5566471471471,-1.2867565157894205,0.9542499266995813
,,761.5617681681682,-1.234367922617821,0.9527975836720831
,,761.5668891891892,-1.1819793294480405,0.951346756758914
,,761.5720102102102,-1.1295907362773505,0.9498974528763516
,,761.5771312312312,-1.07720214310757,0.9484496790139904
,,761.5822522522523,-1.0248135499359705,0.94700344221214
,,761.5873732732733,-0.9724249567652805,0.9455587494851512
,,761.5924942942943,-0.9200363635955,0.9441156079598217
,,761.5976153153154,-0.86764777042481,0.9426740247294911
,,761.6027363363363,-0.8152591772550295,0.9412340069618899
,,761.6078573573574,-0.76287058408343,0.9397955618763649
,,761.6129783783784,-0.71048199091274,0.9383586966666162
,,761.6180993993994,-0.6580933977429595,0.9369234186246306
,,761.6232204204205,-0.6057048045722695,0.9354897350790926
,,761.6283414414414,-0.553316211402489,0.9340576533176448
,,761.6334624624625,-0.5009276182308895,0.9326271807502805
,,761.6385834834834,-0.448539025061109,0.9311983248085808
,,761.6437045045045,-0.396150431890419,0.9297710929144497
,,761.6488255255256,-0.343761838719729,0.9283454925739607
,,761.6539465465465,-0.291373245549039,0.9269215313150758
,,761.6590675675676,-0.23898465237834898,0.9254992166798204
,,761.6641885885886,-0.18659605920856848,0.9240785563029936
,,761.6693096096096,-0.13420746603787848,0.9226595578338898
,,761.6744306306307,-0.08181887286627898,0.9212422289046793
,,761.6795516516516,-0.029430279696498474,0.919826577296252
,,761.6846726726727,0.022958313474191527,0.9184126106936309
,,761.6897936936937,0.07534690664397203,0.9170003369469303
,,761.6949147147147,0.12773549981466203,0.9155897638817642
,,761.7000357357357,0.18012409298444254,0.9141808993387064
,,761.7051567567568,0.23251268615604204,0.9127737512529727
,,761.7102777777778,0.28490127932673204,0.9113683275831508
,,761.7153987987988,0.33728987249651254,0.9099646362952394
,,761.7205198198199,0.38967846566811204,0.9085626854346273
,,761.7256408408408,0.44206705883789255,0.9071624830864511
,,761.7307618618619,0.49445565200858255,0.9057640373195164
,,761.735882882883,0.5468442451792725,0.904367356322786
,,761.7410039039039,0.599232838349053,0.9029724482369371
,,761.746124924925,0.6516214315206525,0.9015793213313731
,,761.7512459459459,0.7040100246904331,0.9001879838676511
,,761.756366966967,0.7563986178611231,0.8987984441640194
,,761.761487987988,0.8087872110309036,0.8974107105470437
,,761.766609009009,0.8611758042015936,0.8960247914327067
,,761.7717300300301,0.9135643973731931,0.8946406952293383
,,761.776851051051,0.9659529905429736,0.8932584304269835
,,761.7819720720721,1.0183415837136636,0.8918780055570731
,,761.7870930930931,1.070730176883444,0.8904994291353742
,,761.7922141141141,1.1231187700550436,0.8891227097844416
,,761.7973351351352,1.1755073632257336,0.8877478561523071
,,761.8024561561562,1.227895956395514,0.8863748768878701
,,761.8075771771772,1.280284549566204,0.8850037807640418
,,761.8126981981982,1.3326731427359846,0.8836345765056062
,,761.8178192192192,1.385061735907584,0.8822672729206088
,,761.8229402402402,1.4374503290773646,0.8809018788760359
,,761.8280612612613,1.4898389222480546,0.8795384032898077
,,761.8331822822823,1.5422275154187446,0.8781768550398417
,,761.8383033033033,1.594616108588525,0.8768172431627024
,,761.8434243243244,1.6470047017601246,0.8754595766219275
,,761.8485453453453,1.699393294929905,0.8741038645236822
,,761.8536663663664,1.751781888100595,0.872750115975939
,,761.8587873873875,1.804170481271285,0.871398340104987
,,761.8639084084084,1.856559074441975,0.8700485461139065
,,761.8690294294295,1.908947667612665,0.8687007432662057
,,761.8741504504504,1.9613362607824456,0.867354940810581
,,761.8792714714715,2.0137248539531356,0.8660111480814082
,,761.8843924924925,2.066113447122916,0.8646693744823643
,,761.8895135135135,2.1185020402945156,0.8633296293687573
,,761.8946345345346,2.1708906334652056,0.861991922249512
,,761.8997555555555,2.223279226634986,0.8606562625936989
,,761.9048765765766,2.275667819805676,0.8593226599570055
,,761.9099975975976,2.3280564129754566,0.8579911239482615
,,761.9151186186186,2.380445006147056,0.8566616642041399
,,761.9202396396397,2.432833599317746,0.8553342903721285
,,761.9253606606607,2.4852221924875266,0.8540090122126152
,,761.9304816816817,2.5376107856582166,0.852685839480066
,,761.9356027027027,2.5899993788289066,0.8513647819911084
,,761.9407237237237,2.6423879719995966,0.8500458496333302
,,761.9458447447447,2.694776565169377,0.8487290522798575
,,761.9509657657658,2.747165158340067,0.847414399883441
,,761.9560867867868,2.7995537515116666,0.8461019024940221
,,761.9612078078078,2.851942344681447,0.844791570086979
,,761.9663288288289,2.904330937852137,0.8434834127865698
,,761.9714498498498,2.9567195310219176,0.8421774407458767
,,761.9765708708709,3.0091081241926076,0.8408736641035031
,,761.981691891892,3.061496717364207,0.8395720931305227
,,761.9868129129129,3.1138853105339876,0.8382727380663263
,,761.991933933934,3.1662739037046777,0.8369756092311152
,,761.9970549549549,3.218662496874458,0.8356807170349627
,,762.002175975976,3.2710510900460577,0.8343880718474315
,,762.007296996997,3.323439683215838,0.8330976841367187
