Reference_SiO2,,Sample_A,,Sample_B,,Sample_C,,Sample_D,,Sample_E,,Sample_F,,Sample_G,,Sample_G_flipped,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1079.008301,0.004156952724,1079.008301,-0.002467880491,1079.008301,0.02484483831,1079.008301,0.004768967163,1079.008301,-0.0003234023752,1079.008301,0.02321743406,1079.008301,0.01131055318,1079.008301,0.0006084615598,1079.008301,0.00502518611,
1077.994141,0.0163215138,1077.994141,0.01568968594,1077.994141,0.04302510619,1077.994141,0.0263680499,1077.994141,0.01607253961,1077.994141,0.04128804058,1077.994141,0.02787092328,1077.994141,0.01582027227,1077.994141,0.01956196874,
1077.009155,0.004385772161,1077.009155,0.006286201999,1077.009155,0.03153146803,1077.009155,0.006639719475,1077.009155,0.01082190592,1077.009155,0.0161049366,1077.009155,0.01129968651,1077.009155,1.835353942E-005,1077.009155,0.008229833096,
1075.99353,-0.0001183862842,1075.99353,-0.003308483865,1075.99353,0.02405037358,1075.99353,0.008401107043,1075.99353,-0.003562016645,1075.99353,0.02040593512,1075.99353,0.004644433502,1075.99353,0.00949356053,1075.99353,0.004577536602,
1075.006958,0.009450885467,1075.006958,0.01112179551,1075.006958,0.03126922622,1075.006958,0.008779251948,1075.006958,0.01084077545,1075.006958,0.02380193397,1075.006958,0.001944421907,1075.006958,0.006168610416,1075.006958,0.008728776127,
1073.989868,0.00602677092,1073.989868,0.01550271641,1073.989868,0.03375047818,1073.989868,0.005784467328,1073.989868,-0.008513208479,1073.989868,0.02101510763,1073.989868,0.01448778901,1073.989868,-0.001387804979,1073.989868,0.006109931506,
1073.001953,0.004265923053,1073.001953,0.005723506212,1073.001953,0.03940409794,1073.001953,0.01310132351,1073.001953,0.01386698522,1073.001953,0.01504561584,1073.001953,0.0139160566,1073.001953,0.0006951023825,1073.001953,-0.0009007769986,
1072.013184,0.002756967908,1072.013184,0.008530629799,1072.013184,0.03044424579,1072.013184,0.01007287577,1072.013184,0.006925107911,1072.013184,0.03115426749,1072.013184,0.008656282909,1072.013184,0.01190653257,1072.013184,0.009363777004,
1070.994019,0.0041743326,1070.994019,0.001060469891,1070.994019,0.02859471738,1070.994019,0.007387191523,1070.994019,0.004710791167,1070.994019,0.01604339667,1070.994019,0.0179831814,1070.994019,0.0003019353317,1070.994019,0.00241864752,
1070.003906,-0.007809008006,1070.003906,-0.006395538803,1070.003906,0.03240846843,1070.003906,-0.004744616803,1070.003906,-0.007169208024,1070.003906,0.01688649319,1070.003906,0.007965152152,1070.003906,-0.008669137023,1070.003906,-0.001140021835,
1069.013062,-0.0009423134034,1069.013062,-0.006434971932,1069.013062,0.03178300336,1069.013062,0.004838746972,1069.013062,-0.003424687544,1069.013062,0.01874063909,1069.013062,-0.0009657663177,1069.013062,-0.0001656386012,1069.013062,-0.00186753436,
1067.991577,-0.004464513622,1067.991577,-0.0006692575989,1067.991577,0.03078550845,1067.991577,0.007609526627,1067.991577,-0.003229661146,1067.991577,0.01836547256,1067.991577,0.005555696785,1067.991577,0.00613240432,1067.991577,0.0022415719,
